,Result: # Ballots,Meta: Project Name,Result: Received OP,OSO: # GitHub Repos,OSO: Total Stars,OSO: Total Forks,OSO: Total Contributors,OSO: Contributors Last 6 Months,OSO: Avg Monthly Active Devs Last 6 Months,OSO: Total Onchain Users,OSO: Onchain Users Last 6 Months,OSO: Total Downloads,OSO: Downloads Last 6 Months
313,37,Eventcaster,24844.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,36,Baseswap,24844.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,31,FOAM,24844.82,43.0,0.0,0.0,114.0,6.0,0.8333333333333334,0.0,0.0,0.0,0.0
319,25,Inverter Network,24844.82,7.0,3.0,1.0,17.0,8.0,0.1666666666666666,0.0,0.0,0.0,0.0
320,25,Sweetman,24844.82,1.0,0.0,0.0,4.0,4.0,1.8333333333333333,0.0,0.0,0.0,0.0
321,24,Kromatika Finance,24844.82,7.0,3.0,3.0,13.0,3.0,0.1666666666666666,2281.0,871.0,0.0,0.0
322,21,MultiBaas blockchain middleware,24844.82,28.0,5.0,3.0,107.0,2.0,0.0,0.0,0.0,0.0,0.0
323,19,0xSalman,24790.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,22,Redacted Research,24601.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,31,0xs34n,24357.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,29,Synapse Labs,24357.86,12.0,80.0,28.0,37.0,15.0,4.833333333333333,388604.0,15836.0,0.0,0.0
331,23,Infinity Wallet,24357.86,66.0,23.0,26.0,688.0,8.0,0.1666666666666666,0.0,0.0,0.0,0.0
334,48,ETHAccra,23607.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,47,Bankless DAO,23164.32,41.0,37.0,35.0,140.0,30.0,0.1666666666666666,0.0,0.0,0.0,0.0
340,22,Accessible Education for Web3 Public Goods Changemakers,22116.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,22,Opti.domains | Connecting Web2&3 with ENS + Attestation,22116.86,8.0,1.0,0.0,28.0,2.0,0.5,0.0,0.0,0.0,0.0
343,18,Marko,22116.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,18,Smart Onboarding SDK,22116.86,24.0,0.0,0.0,28.0,6.0,0.1666666666666666,0.0,0.0,0.0,0.0
347,48,HER LATAM _ Optimistas Brillando en Blockchain,21366.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,19,valio.xyz,20551.64,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
352,43,Optimism Guide,19875.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,37,SpaghettETH,19875.86,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
358,34,Protofire Blockchain Learning Path,19875.86,2.0,959.0,157.0,203.0,21.0,0.5,0.0,0.0,0.0,0.0
361,29,Remix CC,19875.86,16.0,8.0,6.0,21.0,3.0,0.5,0.0,0.0,0.0,0.0
363,27,WakeUp Labs,19875.86,9.0,2.0,1.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0
364,27,1W3,19875.86,3.0,1.0,1.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0
365,27,Yoki Finance,19875.86,2.0,0.0,0.0,4.0,3.0,0.6666666666666666,6.0,6.0,0.0,0.0
366,25,Pin Save - decentralized Pinterest,19875.86,2.0,12.0,7.0,7.0,4.0,0.6666666666666666,1.0,1.0,0.0,0.0
367,25,Parsec Finance,19875.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,23,Titanoboa,19875.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,19,Reno,19875.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,18,Gov,18471.13,2.0,5.0,2.0,2.0,1.0,0.1666666666666666,4.0,4.0,0.0,0.0
373,38,DeFi Africa,18429.39,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
374,19,Ivan Molto,18236.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,21,Crypto Sapiens,17888.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
